v1,_varname
.2193772,"borrowing_assets"
.3549339,"borrowing_dep_total"
.5485108,"loan_to_assets"
.3848083,"liquidity_to_assets"
.6661437,"deposits_assets"
.031836,"nonintexp_assets"
.0221972,"nonintinc_assets"
2.466081,"effective_reserve_ratio"
.2431768,"ciloans_total_loans"
11.35872,"leverage"
3.91947,"loan_dur"
5.352945,"secu_dur"
4.843669,"assets_dur"
3.341434,"assets_dur_prepayment_adjusted"
3.072648,"loan_dur_prepayment_adjusted"
2.64889,"secu_dur_prepayment_adjusted"
.3297484,"liabilities_dur"
1.317232,"s_dep"
2.671594,"s_loan"
.8166446,"loan_to_dep"
.6208081,"s_dep_FFR"
-.0983591,"s_loan_FFR"
.9016176,"netloanchargeoffs_loans"
.0888603,"borrowing_assets_sd"
.0626162,"borrowing_assets_demean_sd"
.1897618,"borrowing_dep_total_sd"
.1331003,"borrowing_dep_total_demean_sd"
1.336521,"assets_dur_sd"
